""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000353804.2"	-0.237192762441623	-0.0300889134857986	-3.37647445420399	0.00170837879558212	0.144577656928978	-1.2102048857127	"ENSP00000353804.2"	3	-3.38751713542757	0.00164698997405958	0.133687241137974	"ACSS2"
"ENSP00000264187.6"	-0.161581173780843	0.00291577595259236	-3.2742885615792	0.00226707296442056	0.166876651897432	-1.45491521608453	"ENSP00000264187.6"	31	-3.3825611264991	0.00166996216141291	0.133687241137974	"NID1"
"ENSP00000344822.3"	0.521565572284713	-0.00699400445831091	3.34208556903101	0.00187981503100317	0.151915219978974	-1.29298118193288	"ENSP00000344822.3"	5	3.36056561634614	0.00177566373853858	0.138217167075637	"S100A13"
"ENSP00000256398.8"	0.183839516104755	-0.0392777849651092	3.50265311855508	0.00119873022139538	0.114536739218488	-0.902977090173525	"ENSP00000256398.8"	1	3.35173466322487	0.00181987492098239	0.138217167075637	"ELP3"
"ENSP00000370839.6"	-0.136478850852364	-0.00247218743712803	-3.19594614267732	0.00280911907463207	0.185333838000785	-1.63988110911434	"ENSP00000370839.6"	7	-3.30567553153844	0.00206802501226296	0.153137252158072	"SGCB"
"ENSP00000494675.1"	0.240911724070293	-0.00635995695440944	3.26979896625056	0.00229523654524211	0.166876651897432	-1.46557845930163	"ENSP00000494675.1"	4	3.29591955445094	0.00212457672993597	0.153487714001716	"DIAPH1"
"ENSP00000381301.4"	-0.244918764088894	0.0628156855410469	-3.26748116103559	0.00230990639020754	0.166876651897432	-1.47108050965212	"ENSP00000381301.4"	2	-3.25376508928479	0.00238630891142198	0.16652199185265	"GSK3A"
"ENSP00000418668.1"	-0.2218313440305	0.0268083640207941	-3.19033427472307	0.0028523412541259	0.185333838000785	-1.65303926928592	"ENSP00000418668.1"	11	-3.2490479585436	0.00241743607348547	0.16652199185265	"CAVIN4"
"ENSP00000368884.3"	-0.16515506891816	0.0291288746686338	-3.12551956928339	0.00339948515058563	0.205495408490503	-1.80409889028279	"ENSP00000368884.3"	11	-3.21711534732589	0.00263852886914031	0.176671833034321	"RPS6KA3"
"ENSP00000225614.1"	-0.196799738844417	0.00211824011540004	-3.17147966957654	0.00300222622203994	0.185333838000785	-1.69715639343826	"ENSP00000225614.1"	4	-3.20198096633462	0.00274990243103789	0.176671833034321	"GALK1"
