""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000371362.4"	0.0549418171923511	-0.0298200511426048	0.820063605471161	0.417308656443942	0.79626346851552	-5.6972075683067	"ENSP00000371362.4"	2	0.814248683417646	0.420549597592678	0.79493803961041	"NADK2"
"ENSP00000481741.1"	0.240234376004373	-0.112991635902422	0.809913840541393	0.423046861821729	0.799857434356099	-5.70506014930709	"ENSP00000481741.1"	6	0.813647823353746	0.420889620684881	0.795073377849884	"GSTT1"
"ENSP00000374987.2"	0.241691510547498	-0.312905545525694	0.806755905301734	0.4248419676861	0.800511565351632	-5.70748412629731	"ENSP00000374987.2"	13	0.810711546584755	0.422553653785724	0.797708044941564	"IGHG2"
"ENSP00000354848.4"	0.0717646437798316	0.0501993885769856	0.806383040347947	0.425054225228962	0.800511565351632	-5.7077697283643	"ENSP00000354848.4"	3	0.809223150419821	0.423398679052924	0.798418133082116	"KIFBP"
"ENSP00000490196.1"	-0.279876500528158	-0.307262243597054	-0.806847741135729	0.424789698997584	0.800511565351632	-5.70741376358478	"ENSP00000490196.1"	1	-0.809099544112937	0.42346890177988	0.798418133082116	"FAM240C"
"ENSP00000384474.2"	0.0659982688449005	0.0211733785143395	0.811308512746421	0.422255542725534	0.799693681299892	-5.70398671677998	"ENSP00000384474.2"	2	0.808429555707663	0.423849656231947	0.798627660152052	"HYPK"
"ENSP00000362583.3"	0.0456078473478519	0.0882581832740051	0.7896817328985	0.434627543741929	0.808647477740952	-5.72043170888847	"ENSP00000362583.3"	7	0.806792679941137	0.42478076811362	0.799873258202507	"SYNC"
"ENSP00000334373.4"	0.0404997962399696	0.0260914957190473	0.781014165444719	0.439646506187137	0.814289694423621	-5.72690209740851	"ENSP00000334373.4"	10	0.805676260400839	0.425416538586588	0.800057703641333	"KPNA4"
"ENSP00000446855.1"	0.0629128507867313	0.0649631399500601	0.82285241952344	0.415740383631068	0.79626346851552	-5.69503344688161	"ENSP00000446855.1"	1	0.805672055515502	0.425418934245476	0.800057703641333	"PPP1R12A"
"ENSP00000262873.8"	-0.0624452914998842	-0.0152884228463121	-0.79167902500339	0.433475906045236	0.807875528879242	-5.71893094135001	"ENSP00000262873.8"	13	-0.80484197969219	0.425892015589689	0.800431407669116	"MYH7B"
