""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000262570.5"	0.354564232786884	-0.0337781788493888	5.60758857059893	1.98345502998911e-06	8.40095782688341e-05	4.91902453983953	"ENSP00000262570.5"	30	5.73256235177971	1.30270255104465e-06	6.65276716585215e-05	"CHCHD3"
"ENSP00000354961.2"	0.686548492141426	0.201117933937526	5.69404464955087	1.51015926627881e-06	7.84162915862901e-05	5.17774116616434	"ENSP00000354961.2"	4	5.72578977422347	1.33094008211373e-06	6.68177037834045e-05	"MT-ND4"
"ENSP00000356022.4"	0.541488057782209	-0.0222003047924032	5.65193261909899	1.72465263585779e-06	8.19536177244056e-05	5.05170256355675	"ENSP00000356022.4"	55	5.71269682343964	1.38727432950224e-06	6.79475456281658e-05	"SOD2"
"ENSP00000364410.4"	0.517396212734384	-0.0648779638680276	5.72070504135057	1.38835756461173e-06	7.84162915862901e-05	5.25754995273944	"ENSP00000364410.4"	2	5.70996509545597	1.39932487620463e-06	6.79475456281658e-05	"SLC25A19"
"ENSP00000203407.5"	0.403149790846877	-0.0140901675363906	5.62409898316586	1.88285353681715e-06	8.40095782688341e-05	4.96841846695984	"ENSP00000203407.5"	86	5.70137297221026	1.43791311901898e-06	6.86951396537778e-05	"UQCRC1"
"ENSP00000298510.2"	0.41635462202289	0.0169490462310677	5.60278262616018	2.01373398281135e-06	8.40095782688341e-05	4.90464798251744	"ENSP00000298510.2"	47	5.69169923148794	1.48263188429363e-06	6.93308290816206e-05	"PRDX3"
"ENSP00000312311.4"	0.410220767759042	-0.0382415661351614	5.6112070112002	1.96095786280581e-06	8.40095782688341e-05	4.92984918041582	"ENSP00000312311.4"	6	5.68466965108288	1.51599604392585e-06	6.93308290816206e-05	"MRPL46"
"ENSP00000263774.4"	0.474277017560969	-0.0284406791166235	5.60538093979563	1.99730697233824e-06	8.40095782688341e-05	4.9124205326458	"ENSP00000263774.4"	33	5.68353742237125	1.52143953082557e-06	6.93308290816206e-05	"NDUFS3"
"ENSP00000445552.1"	0.539550633150827	0.0642497021219167	5.61262124782845	1.95223439957933e-06	8.40095782688341e-05	4.93407998998354	"ENSP00000445552.1"	6	5.66452753205924	1.61580390867865e-06	7.25153208713053e-05	"ACOT13"
"ENSP00000274137.6"	0.487271043779986	-0.0758576383188124	5.58118487620254	2.15560081039346e-06	8.86790222275754e-05	4.84004793713818	"ENSP00000274137.6"	13	5.65865913664399	1.64609790999087e-06	7.27722687969099e-05	"NDUFS6"
"ENSP00000232125.5"	0.491026259869086	-0.0361827509922747	5.57520734518981	2.19659710589649e-06	8.91276798310328e-05	4.82217114145289	"ENSP00000232125.5"	11	5.64938550851842	1.69513025828484e-06	7.38378797799955e-05	"FAM162A"
"ENSP00000344011.2"	0.790465415138416	-0.00740163234735517	5.65939183446743	1.68455826327456e-06	8.17977307511352e-05	5.07402499475534	"ENSP00000344011.2"	1	5.64054079322957	1.74325206262349e-06	7.48335160795766e-05	"NUDT6"
"ENSP00000362492.3"	0.533208973768725	-0.0179736105780882	5.70096118487754	1.47757099150994e-06	7.84162915862901e-05	5.19844497636767	"ENSP00000362492.3"	1	5.63148750828292	1.79392060819373e-06	7.49559284200863e-05	"ABCB7"
"ENSP00000419656.1"	0.481042008957145	-0.0186795284608671	5.54869455090835	2.38801115126685e-06	9.30695925006895e-05	4.74289323432918	"ENSP00000419656.1"	16	5.62742189797098	1.81715018970578e-06	7.49559284200863e-05	"NDUFB5"
"ENSP00000253686.2"	0.5726078462001	-0.0663416643500892	5.68334899627677	1.56197204712732e-06	7.84162915862901e-05	5.14572662455578	"ENSP00000253686.2"	1	5.62657595635107	1.82202121750379e-06	7.49559284200863e-05	"MRPS25"
"ENSP00000380122.3"	0.432623808028739	-0.0292711066179219	5.63945502134458	1.79386210233007e-06	8.30221804234636e-05	5.01436479536114	"ENSP00000380122.3"	2	5.6160004293285	1.88402701922076e-06	7.64236053172965e-05	"CHCHD4"
"ENSP00000311740.4"	0.504284012500499	0.0123887458974852	5.54005521617254	2.45390932839322e-06	9.43958367623469e-05	4.71706491505777	"ENSP00000311740.4"	11	5.61045020544492	1.91740655067554e-06	7.64236053172965e-05	"NDUFA11"
"ENSP00000254035.4"	0.687531827203424	-0.0606676154899769	5.56529655700191	2.26628988714307e-06	9.07128465637539e-05	4.7925336167213	"ENSP00000254035.4"	105	5.60334331451264	1.96101072983031e-06	7.64236053172965e-05	"CKMT2"
"ENSP00000311930.3"	0.625348650952459	-0.0360687176538469	5.54993933454127	2.37866290295332e-06	9.30695925006895e-05	4.74661486357648	"ENSP00000311930.3"	38	5.60227973608831	1.96762083966307e-06	7.64236053172965e-05	"ETFB"
"ENSP00000002125.4"	0.475455459703174	-0.0776927860073586	5.61439836506763	1.94132745217281e-06	8.40095782688341e-05	4.93939645983544	"ENSP00000002125.4"	2	5.59922908204511	1.9867041220229e-06	7.64236053172965e-05	"NDUFAF7"
"ENSP00000225665.7"	0.496303141857277	0.0287237130247085	5.52701300950559	2.55684166359434e-06	9.6684510430014e-05	4.67807841215027	"ENSP00000225665.7"	43	5.59502709909519	2.01329213621323e-06	7.64534783008151e-05	"SLC25A11"
"ENSP00000377446.2"	0.508905246352015	0.0470632015030229	5.51549826204074	2.65129059315025e-06	9.81229232972889e-05	4.64366277560872	"ENSP00000377446.2"	12	5.58548139555627	2.07501878481615e-06	7.7800071400322e-05	"SUCLG1"
"ENSP00000417011.2"	0.650925194626287	-0.0296194548102317	5.52431225124835	2.57868883321104e-06	9.6684510430014e-05	4.67000588226833	"ENSP00000417011.2"	11	5.57506751316057	2.14451399242287e-06	7.87902432447949e-05	"LDHD"
"ENSP00000281031.4"	0.468398418147546	-0.0110958538010885	5.49410427089476	2.83610268456911e-06	9.88298370787493e-05	4.5797325443828	"ENSP00000281031.4"	19	5.57357996744732	2.1546285289765e-06	7.87902432447949e-05	"NDUFC2"
"ENSP00000297564.2"	0.537101303883363	-0.0462238678497124	5.49433353730015	2.83405565160587e-06	9.88298370787493e-05	4.58041755467722	"ENSP00000297564.2"	19	5.55994493552733	2.24958452601759e-06	8.08874663660913e-05	"COX6C"
"ENSP00000358737.3"	0.510862477030575	-0.029291978523428	5.49665462705463	2.81341425832774e-06	9.88298370787493e-05	4.58735270222485	"ENSP00000358737.3"	57	5.55756283837258	2.26659679553868e-06	8.08874663660913e-05	"ATP5PB"
"ENSP00000281456.5"	0.515527217437085	-0.0416060146391266	5.47850090958716	2.97893810934072e-06	0.00010260017069613	4.53311708026144	"ENSP00000281456.5"	50	5.54002940158764	2.39582578127198e-06	8.44813805253285e-05	"SLC25A4"
"ENSP00000361993.3"	0.500713101903477	0.0220275121403928	5.5116875406875	2.68330749057407e-06	9.81229232972889e-05	4.63227421514057	"ENSP00000361993.3"	3	5.53132239595771	2.46270375301718e-06	8.49073392299507e-05	"TIMM8A"
"ENSP00000430322.1"	0.459381339183554	-0.0194955792784756	5.45044046583768	3.25408010029446e-06	0.000110788336288186	4.44931062533553	"ENSP00000430322.1"	15	5.53099727311772	2.46523672308432e-06	8.49073392299507e-05	"NDUFB9"
"ENSP00000264954.4"	0.498204588412778	-0.0130569461246778	5.5063622378071	2.728696204191e-06	9.85658311806556e-05	4.61636012752911	"ENSP00000264954.4"	3	5.52595644650125	2.50484274236946e-06	8.5279818424119e-05	"GRPEL1"
"ENSP00000296684.5"	0.482147781287553	-0.00515474045451328	5.41638130162576	3.62225990994338e-06	0.000117902569815959	4.34763424167895	"ENSP00000296684.5"	16	5.49036204571456	2.8031514632458e-06	9.37428020239631e-05	"NDUFS4"
"ENSP00000282050.2"	0.486573492430559	0.0248193727825427	5.41651576182406	3.62072775659178e-06	0.000117902569815959	4.34803553917534	"ENSP00000282050.2"	21	5.48883475983982	2.81671484812043e-06	9.37428020239631e-05	"ATP5F1A"
"ENSP00000292907.3"	0.499415282662236	-0.00571659052414557	5.4127518943934	3.66386125965196e-06	0.00011796040272923	4.33680257166506	"ENSP00000292907.3"	13	5.48224445571898	2.87599525141435e-06	9.40334737859707e-05	"COX7A1"
"ENSP00000496880.1"	0.581016703005793	-0.0561389863758859	5.43249747299171	3.44314115478935e-06	0.000115660854930604	4.39573908568308	"ENSP00000496880.1"	7	5.48082316238164	2.88894196979181e-06	9.40334737859707e-05	"COX7B"
"ENSP00000253452.2"	0.385684905634407	-0.00662476475247582	5.38539180342286	3.993167160484e-06	0.000124502748730038	4.2551692212437	"ENSP00000253452.2"	58	5.47101779072455	2.97985619893436e-06	9.49178117711708e-05	"COX4I1"
"ENSP00000216218.3"	-0.209451569449141	0.027275104342948	-5.19972308026077	7.15392449356756e-06	0.000185876529385501	3.70232806715705	"ENSP00000216218.3"	25	-5.47098113248144	2.98020138241691e-06	9.49178117711708e-05	"ST13"
"ENSP00000299198.2"	1.09142919214316	-0.153676710450134	5.42954407945961	3.47529240000801e-06	0.000115660854930604	4.38692266242202	"ENSP00000299198.2"	62	5.45934398492198	3.09181774588548e-06	9.74251506735404e-05	"CKB"
"ENSP00000333401.3"	0.305396560295609	-0.0496479145323085	5.39384123268655	3.88844218857707e-06	0.000122527295346439	4.28037553463819	"ENSP00000333401.3"	4	5.45337192465583	3.15070501282711e-06	9.8235665768357e-05	"MRPL40"
"ENSP00000245206.5"	0.507430076862593	-0.0278116093054991	5.39562599659332	3.86667350061516e-06	0.000122527295346439	4.28570029541712	"ENSP00000245206.5"	120	5.44041599275245	3.28232491192115e-06	0.000101273399886567	"GOT2"
"ENSP00000347988.2"	0.458496959293872	0.00970827975021599	5.35049671760287	4.45624472086502e-06	0.000136076256321672	4.15110958215001	"ENSP00000347988.2"	19	5.42731823127872	3.42095153941862e-06	0.00010446245834802	"NDUFA5"
"ENSP00000357450.1"	-0.270815777806059	0.025827014452935	-5.22710020895378	6.56536318678195e-06	0.000179886283074827	3.7837049252312	"ENSP00000357450.1"	20	-5.39926689873465	3.73776822485773e-06	0.00011297213757172	"PBXIP1"
"ENSP00000222214.4"	0.618422307679683	-0.0475371418082444	5.35207249294506	4.43422512953489e-06	0.000136076256321672	4.15580724985361	"ENSP00000222214.4"	5	5.38885495735273	3.86265462907944e-06	0.000115567505164983	"GCDH"
"ENSP00000275428.4"	0.27406982603008	0.018380051386817	5.21863604243108	6.74199594416059e-06	0.000181543563514579	3.7585399629746	"ENSP00000275428.4"	8	5.35859162284285	4.24972346061036e-06	0.00012504639443143	"GGCT"
"ENSP00000303525.3"	0.519846801720734	-0.0256939762273427	5.30537353883291	5.13511164636478e-06	0.000150596046500322	4.01664916060926	"ENSP00000303525.3"	7	5.3575356506037	4.26390473922162e-06	0.00012504639443143	"CBR4"
"ENSP00000461324.1"	0.457506556693615	0.0222366760727331	5.31341173429717	5.00706497652774e-06	0.000148309264604752	4.0405931022272	"ENSP00000461324.1"	4	5.35087665023438	4.3544234271452e-06	0.000126449041090236	"AC139530.2"
"ENSP00000398290.1"	0.593757489281089	-0.0788134942748378	5.34235055511543	4.57182481902207e-06	0.000138181072591259	4.12682660701188	"ENSP00000398290.1"	2	5.34294771612015	4.46470151899468e-06	0.000128392678633614	"NDUFA3"
"ENSP00000256441.4"	0.403722992034139	0.0171505109369004	5.28262874198258	5.5153485807852e-06	0.000160161397022409	3.94891901228559	"ENSP00000256441.4"	5	5.33832089769036	4.53033190895376e-06	0.000129027337637702	"MRPS36"
"ENSP00000258424.2"	0.436253966585845	-0.00889215330816346	5.24541365221388	6.19877752409849e-06	0.000174864562155997	3.83817005621371	"ENSP00000258424.2"	33	5.32039525197101	4.79379131883114e-06	0.00013361088186772	"COX5B"
"ENSP00000306887.2"	0.511617803289803	0.0612118974399139	5.32488055279892	4.82984940678906e-06	0.000144505191342517	4.07476272543472	"ENSP00000306887.2"	2	5.31844861654391	4.82330348996021e-06	0.00013361088186772	"TMEM126A"
"ENSP00000362058.3"	0.571462732461053	-0.066598092391778	5.26755387038056	5.78266131354328e-06	0.000166293619521507	3.9040465507354	"ENSP00000362058.3"	9	5.31823246438589	4.8265916137225e-06	0.00013361088186772	"NDUFS5"
"ENSP00000423673.1"	0.430012840782537	-0.00344877484036695	5.23450753429592	6.4145629597637e-06	0.000178911812292912	3.80573190342368	"ENSP00000423673.1"	20	5.31430588187121	4.88671269697081e-06	0.000134022620448403	"NDUFA13"
"ENSP00000371607.3"	0.39382863712252	-0.0244012955240722	5.2630430961512	5.86512371861303e-06	0.000167043235139729	3.89062245934927	"ENSP00000371607.3"	4	5.30530840753998	5.02729904076181e-06	0.000136613392281986	"MIPEP"
"ENSP00000354876.1"	0.466362209676952	-0.0248000827116754	5.2321069718805	6.46305331375474e-06	0.000178911812292912	3.79859299225732	"ENSP00000354876.1"	44	5.29686877244526	5.16282215354926e-06	0.000139020720171026	"MT-CO2"
"ENSP00000258975.6"	0.356761805899074	-0.0076208079190058	5.20930843494011	6.94212043112945e-06	0.00018359429211612	3.73081380570142	"ENSP00000258975.6"	6	5.28418635564385	5.37333597993742e-06	0.000143385776329501	"TACO1"
"ENSP00000338568.4"	0.493361597892398	-0.0231001388834874	5.21269183920368	6.86885609831753e-06	0.000183293259128077	3.74087019517415	"ENSP00000338568.4"	35	5.27441762090613	5.54128524550037e-06	0.000146547204439037	"ATP5F1C"
