	source	target	category	correlation	pvalue	padj
3963025	ENSG00000163938	ENSP00000256441.4	115	-0.5966173361522199	1.918393979887464e-05	0.0005996404188325
3963037	ENSG00000163938	ENSP00000301729.4	115	-0.6577871740662438	1.2241657442762506e-06	7.461012717725925e-05
3963040	ENSG00000163938	ENSP00000356972.3	115	-0.6102889358703312	1.090034542446466e-05	0.0003910737577185
3963044	ENSG00000163938	ENSP00000260665.7	115	-0.7002114164904862	1.2202252524309642e-07	1.2965150968042118e-05
3963071	ENSG00000163938	ENSP00000381785.3	115	-0.6615926708949965	1.0103935505936725e-06	6.45080321878031e-05
3963082	ENSG00000163938	ENSP00000355518.4	115	-0.653881002718212	1.9870904320078173e-06	0.0001078390079689
3963100	ENSG00000163938	ENSP00000155674.5	115	-0.6435517970401691	2.4518657555146e-06	0.0001263983674955
3963112	ENSG00000163938	ENSP00000377446.2	115	-0.5918252290345314	2.3246228709383345e-05	0.000693239667799
3963120	ENSG00000163938	ENSP00000216254.4	115	-0.6328400281888654	4.040915423130755e-06	0.0001845618135753
3963642	ENSG00000163938	ENSG00000064607	115	0.7338971106412967	1.4438791039317722e-08	2.544214969966351e-06
3963867	ENSG00000163938	ENSG00000090863	115	0.6618745595489782	9.960232672453826e-07	6.380499871246142e-05
3963927	ENSG00000163938	ENSG00000100227	115	0.6424242424242425	2.5866073355959317e-06	0.0001316387515513
3963941	ENSG00000163938	ENSG00000100485	115	0.7602536997885835	2.146348640725784e-09	5.901639879703042e-07
3964144	ENSG00000163938	ENSG00000107758	115	0.773784355179704	7.321705957824675e-10	2.572144210058218e-07
3964383	ENSG00000163938	ENSG00000115307	115	0.7766032417195208	5.797833928677741e-10	2.1481578908837938e-07
3964634	ENSG00000163938	ENSG00000124222	115	0.7429175475687103	7.716777643985492e-09	1.575716330345148e-06
3964811	ENSG00000163938	ENSG00000132155	115	0.7167019027484144	4.458533882861215e-08	6.018187510729346e-06
3964820	ENSG00000163938	ENSG00000132429	115	0.774630021141649	6.829054450420673e-10	2.437491891020957e-07
3965128	ENSG00000163938	ENSG00000140391	115	0.7774489076814658	5.40227549705875e-10	2.0337325571884282e-07
